iter	Passed	Remaining
699	5899	4214
700	5908	4205
701	5916	4197
702	5925	4188
703	5933	4180
704	5942	4172
705	5951	4164
706	5960	4156
707	5968	4147
708	5977	4139
709	5986	4131
710	5993	4122
711	6002	4114
712	6010	4105
713	6019	4097
714	6027	4088
715	6035	4080
716	6044	4071
717	6052	4063
718	6060	4054
719	6069	4046
720	6077	4037
721	6086	4029
722	6094	4021
723	6103	4012
724	6112	4004
725	6120	3996
726	6129	3988
727	6138	3979
728	6146	3971
729	6155	3963
730	6164	3955
731	6173	3946
732	6182	3938
733	6190	3930
734	6199	3921
735	6207	3913
736	6216	3905
737	6224	3896
738	6233	3888
739	6241	3879
740	6250	3871
741	6258	3863
742	6267	3854
743	6275	3846
744	6283	3837
745	6292	3829
746	6300	3821
747	6309	3812
748	6318	3804
749	6326	3795
750	6335	3787
751	6343	3778
752	6351	3770
753	6359	3761
754	6367	3752
755	6376	3744
756	6385	3736
757	6393	3728
758	6402	3719
759	6411	3712
760	6420	3703
761	6429	3695
762	6437	3686
763	6445	3678
764	6454	3670
765	6463	3661
766	6471	3653
767	6480	3645
768	6488	3636
769	6496	3628
770	6504	3619
771	6514	3611
772	6522	3602
773	6531	3594
774	6540	3586
775	6548	3578
776	6557	3569
777	6565	3561
778	6574	3553
779	6583	3544
780	6591	3536
781	6599	3527
782	6607	3519
783	6616	3510
784	6624	3502
785	6633	3493
786	6641	3485
787	6658	3481
788	6667	3473
789	6676	3465
790	6685	3457
791	6694	3448
792	6704	3441
793	6713	3432
794	6722	3424
795	6730	3416
796	6739	3407
797	6747	3399
798	6755	3390
799	6764	3382
800	6772	3373
801	6781	3365
802	6790	3357
803	6801	3349
804	6809	3341
805	6818	3332
806	6826	3324
807	6835	3315
808	6844	3307
809	6852	3299
810	6860	3290
811	6868	3282
812	6877	3273
813	6886	3265
814	6894	3256
815	6902	3248
816	6910	3239
817	6919	3231
818	6927	3222
819	6935	3214
820	6944	3205
821	6952	3197
822	6961	3188
823	6969	3180
824	6978	3171
825	6986	3163
826	6995	3155
827	7003	3146
828	7011	3137
829	7020	3129
830	7029	3121
831	7037	3112
832	7045	3104
833	7053	3095
834	7061	3086
835	7069	3078
836	7077	3069
837	7086	3061
838	7095	3052
839	7104	3044
840	7112	3036
841	7120	3027
842	7129	3019
843	7137	3010
844	7145	3002
845	7154	2993
846	7163	2985
847	7171	2976
848	7180	2968
849	7189	2960
850	7197	2951
851	7205	2943
852	7214	2934
853	7223	2926
854	7231	2918
855	7240	2909
856	7249	2901
857	7258	2893
858	7266	2884
859	7275	2876
860	7285	2868
861	7294	2860
862	7302	2851
863	7311	2843
864	7319	2834
865	7328	2826
866	7336	2817
867	7345	2809
868	7353	2801
869	7361	2792
870	7370	2783
871	7379	2775
872	7388	2767
873	7397	2759
874	7405	2750
875	7414	2742
876	7422	2733
877	7431	2725
878	7439	2716
879	7448	2708
880	7456	2699
881	7464	2691
882	7473	2682
883	7481	2674
884	7489	2665
885	7498	2657
886	7506	2648
887	7515	2640
888	7523	2632
889	7532	2623
890	7540	2615
891	7549	2606
892	7557	2598
893	7566	2589
894	7574	2581
895	7582	2572
896	7591	2564
897	7599	2555
898	7608	2547
899	7616	2538
900	7625	2530
901	7633	2521
902	7642	2513
903	7650	2505
904	7659	2496
905	7668	2488
906	7677	2480
907	7685	2471
908	7694	2463
909	7703	2454
910	7712	2446
911	7720	2437
912	7728	2429
913	7737	2421
914	7745	2412
915	7755	2404
916	7764	2396
917	7772	2387
